M1/M2,Spin1x,Spin1y,Spin1z,Spin2x,Spin2y,Spin2z,Fspin,Fsnorm,Fsint
2.412285413,0,0,-1.18E-06,0,0,-0.851287755,0.258618122,0.383732682,7.674653644
3.43561438,-0.047482667,-0.114542643,-0.536098748,0.128989648,-0.394115265,-0.007689202,0.258793158,0.383888552,7.677771031
3.998549418,-0.008424707,0.013228583,-0.399743306,0.170619582,0.780363416,0.032621936,0.259071637,0.384136537,7.682730735
3.999304231,-0.009792565,-0.013587814,-0.39973773,-0.746730817,-0.283793538,0.033929491,0.259721311,0.384715071,7.694301412
3.999615096,0.0120489,0.012340798,-0.399681058,0.780013133,0.17317126,0.033133446,0.259856746,0.384835675,7.696713506
4.999700323,0,0,-0.50008114,0,0,-0.250018077,0.260380621,0.385302185,7.706043706
9.999824343,-6.45E-08,-1.32E-07,3.66E-06,5.04E-09,8.84E-08,5.78E-08,0.260519679,0.385426016,7.708520326
9.999941403,7.23E-09,4.82E-10,8.74E-07,-4.81E-11,-4.42E-11,7.84E-07,0.260611814,0.385508062,7.710161248
9.996347594,0,0,0,0,0,0,0.26076566,0.385645062,7.712901241
9.989508602,-2.56E-08,2.74E-08,1.28E-05,-6.21E-08,-1.17E-07,-1.43E-05,0.260847098,0.385717582,7.71435165
2.631195329,-5.39E-07,2.15E-07,-0.79991671,-1.37E-07,1.25E-07,0.510738937,0.261978703,0.386725275,7.734505506
3.703318179,0.270756466,0.203373904,-0.5752233,-0.128014748,-0.527935306,-0.497475419,0.264224517,0.38872517,7.774503396
2.999336185,0,0,0.499997069,0,0,-0.650246064,0.264942689,0.389364701,7.787294021
7.996976323,2.65E-08,1.41E-07,-0.800081792,1.10E-07,2.92E-07,0.799422203,0.265615567,0.389963898,7.799277961
9.662816176,-2.01E-08,4.29E-08,1.67E-06,3.32E-08,4.69E-08,-2.73E-05,0.267427369,0.391577305,7.831546109
3.000132284,0,0,-0.60134902,-0.60098665,0,0,0.268957468,0.392939857,7.858797133
3.000052609,-3.56E-08,-1.74E-08,-0.600053487,6.17E-09,1.37E-09,-6.68E-05,0.270556088,0.394363426,7.887268514
2.999974072,3.65E-08,1.25E-08,-0.599953931,1.63E-09,3.01E-08,-4.88E-05,0.270613474,0.394414528,7.888290557
9.499946429,-9.29E-09,-5.71E-10,9.06E-07,3.65E-12,-1.31E-10,7.64E-07,0.270839462,0.39461577,7.892315398
7.953245819,2.76E-07,-1.70E-07,-0.800141087,2.53E-08,1.07E-07,-0.458841196,0.272061691,0.395704163,7.914083265
4.99970595,0,0,0.500063162,0,0,-0.250020458,0.27446789,0.39784688,7.956937608
3.998703307,-4.41E-07,2.63E-07,-0.400122376,3.80E-09,-4.08E-08,0.799573509,0.274613384,0.397976443,7.959528853
7.997128231,-1.17E-06,6.36E-07,-0.799956583,-6.50E-07,-2.15E-07,-0.798879821,0.27629526,0.399474151,7.989483021
3.426424035,0.38402356,0.127303326,-0.662178252,-0.426470007,-0.626620033,0.073057217,0.276685892,0.399822008,7.996440167
9.199950031,5.20E-08,2.28E-08,-2.25E-06,-1.94E-09,3.56E-09,-1.46E-06,0.277220265,0.400297867,8.005957337
9.167299818,-1.36E-08,7.64E-08,1.18E-05,3.09E-08,1.07E-07,-6.79E-06,0.278100977,0.40108214,8.021642795
8.99995139,-1.06E-08,-6.12E-10,8.87E-07,-1.76E-10,-8.12E-11,7.44E-07,0.281861173,0.404430589,8.08861179
2.365745148,-2.38E-07,1.93E-07,-0.799785891,3.09E-08,6.59E-08,-0.116002642,0.282168794,0.404704526,8.094090512
2.412344321,0,0,0.500089579,0,0,-0.851304222,0.283356902,0.405762534,8.115250685
2.999991172,5.32E-08,-6.74E-08,-0.600097982,-1.14E-08,-3.38E-09,0.399935582,0.284292044,0.406595277,8.13190554
2.99997784,2.50E-08,2.10E-08,-0.599972303,2.72E-09,3.46E-08,0.399920723,0.284354934,0.40665128,8.13302561
4.000336083,-0.30071139,0,-0.52084101,-0.60119366,0,0,0.284857911,0.407099181,8.141983617
1.999798409,3.01E-08,1.17E-09,-0.849880769,1.62E-08,-3.27E-09,-0.849634791,0.285378467,0.407562735,8.151254706
1.99974153,3.00E-08,-1.47E-08,-0.849871884,2.71E-08,2.25E-08,-0.849608829,0.2853955,0.407577903,8.151558064
3.000751084,0,0,-0.800644247,0,0,-0.500032801,0.288017691,0.409912961,8.198259219
8.728770618,8.69E-09,2.25E-08,-1.11E-06,1.23E-09,4.03E-08,-3.31E-05,0.288243788,0.4101143,8.202286
2.999671085,-6.90E-08,9.63E-08,-0.600017106,-6.13E-09,4.33E-08,0.599845512,0.291156489,0.412708057,8.254161131
2.999612794,2.81E-08,-1.54E-07,-0.600007505,-4.90E-08,-5.05E-08,0.5998747,0.29116166,0.412712661,8.254253226
2.697625313,-0.012011511,-0.055888206,-0.656461357,-0.659521758,-0.317414944,-0.036098069,0.291567216,0.413073808,8.261476168
8.499956153,1.12E-08,5.92E-10,8.72E-07,-8.76E-12,-6.10E-12,7.24E-07,0.293728085,0.41499806,8.29996119
4.067346975,-8.26E-09,-3.95E-08,-0.283524531,-1.23E-07,-4.43E-08,-0.799219202,0.298804421,0.41951853,8.390370605
2.999801027,-4.29E-08,3.25E-09,-0.499970589,-4.50E-08,-7.69E-08,-0.499992287,0.299025219,0.419715151,8.394303012
2.999838488,2.69E-13,1.20E-13,-0.499543718,-1.01E-12,-8.00E-13,-0.499400144,0.299237657,0.419904326,8.398086527
2.99978785,6.80E-12,1.86E-12,-0.499535,-1.88E-12,8.10E-13,-0.499355,0.299259423,0.419923709,8.398474179
8.267457263,4.43E-07,8.03E-07,1.02E-06,1.12E-08,2.16E-08,-8.82E-08,0.299744613,0.42035577,8.4071154
1.999639722,0,0,-0.800590064,0,0,-0.800718134,0.305299063,0.425302001,8.506040013
1.999805818,-1.02E-07,-3.27E-07,-0.800616865,5.43E-08,-4.46E-08,-0.799646011,0.305762025,0.425714268,8.514285355
7.99996931,1.27E-09,-1.49E-10,2.07E-07,-9.28E-11,6.08E-11,4.29E-07,0.306743699,0.426588447,8.531768944
1.998495343,0,0,-0.500036781,0,0,-0.851324428,0.308819097,0.428436586,8.568731729
3.476457476,-0.334266002,0.129084784,-0.575835802,-0.132079616,0.715487869,0.210365904,0.311511445,0.430834119,8.616682378
2.901283076,-2.09E-07,5.50E-08,-0.560337196,1.40E-07,7.93E-08,0.297379598,0.312901603,0.432072053,8.641441057
2.413755455,0,0,-0.500113354,0,0,-0.650274759,0.313258749,0.432390091,8.647801818
7.760867762,-2.80E-08,-1.11E-08,1.32E-05,-2.82E-08,1.16E-07,-4.01E-05,0.313432823,0.432545104,8.650902072
6.534924122,-3.75E-08,3.41E-07,-0.052286039,-8.86E-08,7.91E-08,-0.3225416,0.314872375,0.433827023,8.676540456
2.999854933,0,0,-2.36E-06,0,0,-0.500064009,0.316213655,0.435021431,8.700428619
2.499716487,0,0,-0.60141003,0,0,-0.60108066,0.31624142,0.435046156,8.700923113
3.001320943,1.84E-12,-1.05E-11,-0.499548,-7.50E-12,-6.88E-12,2.49E-07,0.316247039,0.435051159,8.701023187
3.001327625,3.14E-12,4.02E-12,-0.49954,4.66E-10,-6.60E-10,5.57E-07,0.316338047,0.435132202,8.702644037
3.001320862,-5.69E-13,-9.49E-12,-0.499548,2.17E-11,2.34E-12,2.07E-07,0.316347248,0.435140395,8.702807907
3.001326727,1.68E-11,-2.42E-11,-0.499523,8.08E-09,-1.42E-08,1.38E-06,0.316353877,0.435146298,8.702925969
3.001317918,1.66E-12,-3.74E-12,-0.499539,3.76E-10,-7.91E-10,3.64E-07,0.316367102,0.435158075,8.703161506
2.901277236,0.222378403,-0.265650474,-0.71432819,-0.024979185,-0.138591476,0.778636148,0.316492608,0.435269838,8.705396764
2.413738489,0,0,0.800647531,0,0,-0.800935117,0.317570068,0.436229315,8.7245863
2.490642125,-0.018845656,-0.263583236,-0.683895931,-0.350186749,0.367166855,-0.242407504,0.318128565,0.436726656,8.734533117
7.499966961,-2.87E-11,2.61E-11,7.13E-07,7.65E-13,9.32E-13,5.96E-07,0.320990351,0.439275073,8.785501453
2.789050627,0.32919299,-0.071846285,-0.643724843,0.495408894,0.248596099,-0.545088516,0.32350108,0.441510874,8.830217472
3.000197729,-0.30068069,0,-0.5207805,0.30050941,0,-0.52043505,0.32353785,0.441543617,8.830872345
2.883028208,2.18E-07,-3.88E-07,-0.448683068,2.37E-07,-5.68E-08,-0.799533419,0.324743533,0.442617276,8.852345528
2.561455987,0.232370157,0.099359051,-0.711435976,-0.088486351,-0.052273985,0.291180326,0.324769357,0.442640273,8.852805453
1.999867184,-0.022462527,0.011650082,-0.799330535,-0.108145694,0.563111505,-0.5574622,0.32502027,0.44286371,8.857274207
1.999833484,0.019230782,0.018411748,-0.799522704,0.525013808,-0.216992461,-0.562848107,0.32518091,0.44300676,8.860135202
1.999885187,0.003271546,-0.030174051,-0.799185392,-0.43372219,-0.360132193,-0.567101536,0.325742816,0.443507137,8.870142733
5.936954518,1.88E-08,-2.91E-07,-0.063090923,-1.04E-07,-1.86E-07,-0.758200669,0.326965457,0.444595897,8.891917938
