M1/M2,Spin1x,Spin1y,Spin1z,Spin2x,Spin2y,Spin2z,Fmass,Fmnorm,Fmint
1.176461276,0,0,0.499995237,0,0,0.500049944,0.933421738,0.44033929,8.806785798
1.333444092,-0.049470186,-0.043712664,0.796936021,0.750145024,-0.276300808,0.028940758,0.933603004,0.441915417,8.838308331
1.205583136,-0.502113828,0.182820197,0.455231731,0.103890054,0.521279266,0.518688131,0.933609216,0.441969431,8.839388611
0.999927214,-0.171867607,0.574621697,0.015846404,0.057176677,-0.005506062,0.797689027,0.933756741,0.443252176,8.865043514
1.000023472,-0.013464606,0.076050241,0.846393639,-0.691988805,-0.400236968,0.026072165,0.93389255,0.444433049,8.888660981
0.999922042,-0.048647511,0.129876574,0.144004177,0.013871515,-0.001023616,0.799639332,0.933910601,0.444590004,8.891800087
1.499247302,0,0,0,0,0,0.800675058,0.933935935,0.444810286,8.896205722
1.124522248,0.158642752,-0.34994713,0.572223074,0.175190353,-0.691048475,0.15058435,0.933963242,0.445047723,8.900954466
1.999541926,-0.142032046,-0.530263258,0.582183789,-0.075349716,0.030588599,0.795509575,0.933970323,0.445109293,8.902185866
1.177016391,0,0,0.800785327,0,0,0.250014638,0.933974347,0.445144282,8.902885648
1.332703871,0,0,0,0,0,0.800753404,0.933983025,0.445219739,8.904394771
1.666836404,0.05842722,-0.013219635,0.797454554,-0.282467346,0.74778497,0.032982196,0.934192246,0.447038937,8.940778736
1.999736328,0.052406131,-0.005937275,0.798141167,-0.201187592,0.773995447,0.014947508,0.934249054,0.447532888,8.950657765
1.565537037,-0.002535866,0.005370052,0.638443866,0.000438325,8.07E-05,0.412529849,0.934268787,0.447704469,8.954089375
1.499992852,3.31E-08,-2.84E-08,0.800076272,-1.74E-08,-5.59E-08,-0.000106364,0.934286591,0.447859276,8.957185527
1.666612824,-0.01808162,0.056817023,0.797640333,-0.532000692,-0.596279661,0.033085581,0.934343991,0.448358375,8.967167506
0.999940747,0.018041054,0.849290634,0.027684539,0.081933148,-0.03010879,0.845416029,0.934418123,0.449002961,8.980059215
0.999962235,0.024852763,0.799189299,0.024750705,0.071877171,-0.02761606,0.79624697,0.93442213,0.449037802,8.98075604
1.000072183,0.077196443,-0.027768795,0.845941923,0.005683169,0.799553931,0.025005603,0.934591101,0.450507022,9.010140447
2.000269534,0.048992633,0.018427314,0.797927124,-0.5101123,0.616100827,0.01490867,0.934635885,0.450896424,9.017928478
1.158367472,-4.13E-09,5.87E-08,0.799736754,-3.21E-08,-1.57E-08,0.028462037,0.934677249,0.451256088,9.025121763
1.000179816,2.88E-09,-4.54E-09,0.899793274,-6.02E-09,1.95E-09,2.12E-06,0.934931243,0.453464592,9.069291846
1.000160924,5.48E-10,3.55E-10,0.899736126,-1.27E-09,3.66E-10,7.73E-06,0.934942964,0.453566508,9.071330152
1.33330115,0,0,0.500012011,0,0,0.500028458,0.934975774,0.453851794,9.077035879
0.999987763,0.798744914,-0.031504008,0.027261648,-0.027948942,-0.065992923,0.79675331,0.93510274,0.454955776,9.09911553
1.00002589,9.24E-09,-2.39E-09,0.649960087,-9.86E-09,5.36E-09,0.249998882,0.935155024,0.455410391,9.108207826
1.000027122,-1.08E-08,-2.46E-10,0.649960889,6.17E-09,-1.23E-10,0.250012834,0.935172992,0.455566625,9.111332498
1.749976652,0,0,0.60139248,0,0,0.60127668,0.93523769,0.456129181,9.122583614
0.99992371,-0.102044345,0.386704471,0.006478046,0.038509683,-0.003849104,0.798830126,0.935312557,0.456780157,9.135603141
1.000073008,0.0356466,-0.014906861,0.799028721,-0.019647205,0.399427448,0.008591621,0.935407779,0.457608122,9.152162444
2.000021976,-0.042353803,0.028921985,0.798251726,-0.23474826,-0.764512698,0.014254039,0.935453932,0.458009427,9.160188546
1.972787662,2.04E-08,1.84E-08,0.799807974,6.89E-09,4.21E-08,0.126274689,0.935470646,0.458154757,9.163095146
1.999843327,0.500014176,0.222786309,0.583275043,0.016888287,-0.087383521,0.794661245,0.935539487,0.458753337,9.175066738
1.000006019,-0.72298648,-0.341791754,0.01300689,-0.345188522,-0.382349133,0.612007616,0.935609135,0.459358933,9.18717867
2.000078717,0.044941625,-0.031325644,0.79799211,0.008512092,0.79909908,0.033494546,0.935665496,0.459848998,9.196979964
1.999888057,-0.042928495,0.031119075,0.798061045,-0.200731221,-0.773923609,0.022673218,0.935742057,0.460514704,9.210294081
1.000000006,1.33E-08,5.91E-09,0.437577201,-1.28E-08,-7.58E-09,0.437577185,0.935823607,0.46122379,9.224475795
1.999966565,-0.032866173,-0.038492878,0.798416148,0.752325505,-0.270814673,0.016820955,0.93593891,0.462226361,9.244527226
1.205529729,0.306711062,0.629590145,0.342484756,-0.598217965,-0.023811521,0.480543926,0.935957613,0.462388986,9.247779716
2.000068677,0.032678768,0.043438493,0.798171852,-0.799121336,-0.008842749,0.030796557,0.935974494,0.462535768,9.250715357
0.999952664,2.04E-08,2.98E-08,0.135561752,-2.82E-08,-1.42E-08,0.726632989,0.936004255,0.462794543,9.255890857
1.065208415,-0.330333021,-0.348217446,0.629528016,0.594812242,0.179252507,0.15702358,0.936114907,0.463756673,9.275133469
1.996003172,-0.085475471,0.115640757,0.726024888,0.010276168,0.004718644,0.362534368,0.936182246,0.464342193,9.28684386
1.000007233,-0.705201476,-0.376597434,0.024189109,-0.011596707,0.07139655,0.796672279,0.936185137,0.464367331,9.287346611
1.499265684,0,0,0,0.398642395,0.037881332,0.693529537,0.936188886,0.464399929,9.28799857
0.999994846,-0.426361478,-0.676415798,0.022430567,-0.048567933,0.057612295,0.796385547,0.936212233,0.464602933,9.292058662
1.000073828,-0.029463155,-0.02370364,0.799062856,0.354003523,-0.1860573,0.007434987,0.936230031,0.464757689,9.295153771
2.999188853,5.26E-08,-1.30E-07,0.849987828,-7.47E-08,8.54E-09,0.849477849,0.936233879,0.464791147,9.295822946
0.999996058,0.441702615,0.666492724,0.022438646,0.047133597,-0.058608697,0.796398212,0.936243453,0.464874394,9.297487885
0.999996082,-0.432227462,-0.672633258,0.023666651,-0.046829497,0.058367274,0.796433061,0.936243657,0.464876168,9.297523361
1.43075756,0.324974014,0.443607899,0.523855508,-0.303601226,0.445439202,0.297451555,0.936270818,0.465112336,9.302246715
1.499275856,0,0,-1.21E-06,-0.378451741,0.146922391,0.690285657,0.936362057,0.465905668,9.318113366
2.000022191,0.027683331,-0.001736292,0.799396181,-0.170960606,0.361584859,0.005662495,0.936365151,0.465932571,9.318651419
1.999955412,-0.032046416,-0.039090839,0.798424499,0.757519619,-0.255894046,0.016970393,0.93637602,0.466027078,9.320541561
1.000057054,1.54E-08,3.72E-09,0.752685086,-1.63E-08,-1.29E-08,0.087980638,0.936481877,0.466947516,9.338950312
1.249897119,-0.249929195,0.759062668,0.036296651,0.085241429,-0.007537159,0.795372139,0.936485649,0.466980314,9.339606271
1.499270725,0,0,0,0.337741314,0.229946236,0.688746322,0.936496675,0.467076186,9.341523715
0.99992145,-0.064203374,0.189401648,0.001992965,0.018981015,-0.002326106,0.799529471,0.936723531,0.469048722,9.380974444
1.863019461,-0.333140142,0.52472522,0.491860696,0.074230459,0.023365846,0.643087622,0.93677114,0.469462687,9.389253748
1.11226031,-0.067897232,0.210011289,0.238137005,0.018644898,-0.001450776,0.629730895,0.936788671,0.469615121,9.392302425
1.112260278,-0.067595563,0.210215715,0.238043179,0.018630001,-0.001433922,0.629732061,0.936806213,0.469767651,9.395353015
1.112260277,-0.067581302,0.210225342,0.238038763,0.01862932,-0.001433138,0.629732145,0.936810569,0.469805527,9.396110532
1.112260319,-0.067503067,0.210278055,0.238014316,0.018625615,-0.001428838,0.62973224,0.936838607,0.47004932,9.400986399
1.499292791,0,0,0,-0.253190171,0.315134041,0.691273962,0.936928785,0.470833427,9.41666854
1.499284453,0,0,0,0.14463255,0.367714674,0.69653461,0.93692929,0.470837818,9.41675636
1.998977204,0,0,0,0,0,0.800797308,0.936958951,0.471095723,9.42191447
1.499988349,0.4252333,0,0.42524006,0,0,0.60128835,0.93696038,0.471108149,9.422162976
1.461770897,-0.170603007,0.384659145,0.305205214,0.052586884,0.00436414,0.786566253,0.937027014,0.471687538,9.433750766
0.999610271,0,0,0,0,0,0.800604353,0.937179003,0.473009098,9.460181969
1.499298816,0,0,0,-0.064669513,0.393363152,0.694518981,0.937182099,0.473036018,9.460720369
1.000071429,-0.00613087,0.038663569,0.798997929,-0.343220807,-0.205276712,0.007316327,0.937196709,0.473163054,9.463261079
1.500035637,1.52E-08,1.76E-08,0.499985955,1.22E-09,-5.03E-09,0.500005769,0.937224452,0.473404282,9.468085644
1.005378279,0,0,0,0,0,0.80856782,0.93722996,0.473452175,9.469043496
1.999844412,-0.015229333,-0.01969996,0.799463695,0.385155739,-0.107652122,0.003955156,0.937258096,0.47369682,9.473936405
1.588003462,-0.298474243,-0.327974619,0.483776529,-0.303442462,-0.335894392,0.515160333,0.937303154,0.474088604,9.481772085
0.999921018,2.85E-08,1.08E-08,-0.000101041,-1.72E-08,-2.29E-08,0.799759108,0.937371145,0.474679793,9.493595861
2.0000619,-0.011825438,0.022650311,0.799463202,-0.220005671,-0.334007814,0.006990925,0.93740678,0.474989643,9.499792861
0.999980209,0.0662102,0.793751858,0.07424745,0.581647696,-0.112004824,0.537598446,0.937409576,0.475013955,9.500279091
1.999701461,-0.023505515,0.048504374,0.798237998,-0.403873673,-0.689320982,0.033355963,0.937422166,0.475123426,9.502468518
1.001214991,0,0,0.19997484,0,0,0.60138899,0.9374257,0.475154154,9.503083088
1.011286202,0.318454734,-0.294786461,0.432727987,0.553704473,0.242446443,0.331795421,0.937426559,0.475161623,9.50323247
1.000000014,0.424774177,0.265925751,0.329936834,0.424774109,0.265925766,0.329936833,0.93744958,0.475361793,9.50723587
1.999860308,-0.005505555,-0.049713384,0.798485657,0.773154818,0.20340424,0.01926014,0.937452631,0.475388322,9.507766445
1.333565172,0,0,0.700259906,0,0,0.300002172,0.937545998,0.476200158,9.52400316
1,0,0,0.40010792,0,0,0.40010792,0.93756294,0.47634747,9.526949409
